Product Brand Name ,Product Technical Name ,Product Title,Product Body,Product Image,Vendor,Category,Sub-Category,Availability,Average Rating ,No. of Reviews,Packing Sizes,Variant 1 (Selling Price) 10litre,Variant 1 (MRP),Variant 2 Selling Price) 30litre,Variant 2 (MRP),Variant 3 Selling Price) 50litre,Variant 3 (MRP),Variant 4 Selling Price),Variant 4 (MRP)
Product Brand Name ,Product Technical Name ,,,,,,,,,,Packing Sizes,Variant 1 (Selling Price) 6litre,Variant 1 (MRP),Variant 2 Selling Price) 12litre,Variant 2 (MRP),,,,
Cargar ,Chlorantraniliprole 18.5% SC,Krishikranti Cargar Chlorantraniliprole 18.5% SC Insecticide for Caterpillar & Borer Control,"Krishikranti Cargar Chlorantraniliprole 18.5% SC is a systemic insecticide used to control caterpillar and borer pests in crops.

It is effective against pests like fruit borer, stem borer, and leaf-eating caterpillars, which can cause major crop damage.

Farmers facing regular pest attack in crops like chilli, cotton, and paddy can use this product for reliable control and better crop protection.

Nutrient Composition / Technical Composition
Active Ingredient: Chlorantraniliprole 18.5% SC
Formulation Type: Suspension Concentrate (SC)
Chemical Group: Anthranilic Diamide
Benefits of Chlorantraniliprole 18.5% SC
Effective control of caterpillar and borer pests
Works with quick feeding stop action
Provides long-lasting residual control
Helps reduce leaf damage and crop loss
Suitable for use in integrated pest management (IPM)
Supports better crop health and yield protection
Suitable Crops
Paddy
Cotton
Chilli
Tomato
Maize
Sugarcane
Vegetables
Dosage and Application Method
Application Type	Dosage
Per Acre	60 – 80 ml per acre
Per Liter Water	0.3 – 0.4 ml per liter
Method of Application:
Foliar spray using knapsack or power sprayer

Best Time to Apply:
At early stage of pest infestation
When larvae are small and active
Important Guidelines:
Ensure proper spray coverage on leaves
Spray during morning or evening
Avoid spraying during rain or strong sunlight",https://drive.google.com/file/d/1RKkyky8XPunh3cRjH4gUC7WRqyDi-bvc/view?usp=drive_link,Krishikranti Organics,Chemical Insecticide,Chemical,In Stock,4.1,7,30ml,2700/lit,18200/lit,2600/lit,18200/lit,,,,
,,,,,,,,,,,60ml,2600/lit,18100/lit,2500/lit,18100/lit,,,,
,,,,,,,,,,,150ml,2400/lit,18000/lit,2200/lit,18000/lit,,,,
Product Brand Name ,Product Technical Name ,,,,,,,,,,Packing Sizes,Variant 1 (Selling Price) 10kg,Variant 1 (MRP),Variant 2 Selling Price) 30kg,Variant 2 (MRP),,,,
Tapride ,Cartap Hydrochloride 50% SP,Tapride Cartap Hydrochloride 50% SP Insecticide,"Tapride Cartap Hydrochloride 50% SP is a trusted and effective insecticide widely used by farmers to control stem borers, leaf folders, and other chewing pests, especially in paddy crops. Known in the market as a reliable alternative to Caldan 50 SP, Tapride insecticide helps farmers protect crops at the right time and secure better yields with confidence.

 Benefits of tapride insecticide 
Strong control of stem borers and chewing pests
Effective even at early larval stages
Fast action with long-lasting protection
Easy to dissolve and spray
Helps prevent major yield loss
Trusted by farmers for paddy cultivation
How the cartap 50 %sp Works
Cartap Hydrochloride works by blocking nerve signal transmission in insects. Once pests come in contact with or ingest the insecticide, they stop feeding immediately. This results in paralysis and death of pests, protecting crops from further damage. Tapride insecticide is especially effective against pests hidden inside plant stems.

Features
Active Ingredient: Cartap Hydrochloride 50% SP
Formulation: Soluble Powder (SP)
Strong stomach and contact action
Excellent penetration into plant tissues
Reliable performance in field conditions
 Dosage / Usage Instructions of TAPRIDE 50% sp 
Recommended Dosage

1 gram per liter of water
About 200–250 grams per acre, depending on crop and pest pressure
Application Method:

Dissolve the required quantity in a small amount of water
Add to spray tank and mix well
Spray evenly on crops, focusing on affected areas
Apply at the early stage of pest infestation for best results.

Suitable Crops
Paddy (Rice)
Sugarcane
Vegetables
Maize
Other crops affected by chewing pests
Why Choose Tapride Insecticide?
Trusted quality and formulation
Proven results similar to Caldan 50 SP
Reliable Cartap Hydrochloride 50 SP insecticide
Ideal for farmers searching for Tapride insecticide
Excellent value for money for paddy farmers",https://drive.google.com/file/d/1y3IN90KHmbfw6CnAVDbv2CGZqOjhkL7F/view?usp=drive_link,Krishikranti Organics,Chemical Insecticide,Chemical,In Stock,4.5,6,250gm,1020/kg,2150/kg,900/kg,2150/kg,,,,
,,,,,,,,,,,500gm,950/kg,2050/kg,850/kg,2050/kg,,,,
Product Brand Name ,Product Technical Name ,,,,,,,,,,Packing Sizes,Variant 1 (Selling Price) 10kg,Variant 1 (MRP),Variant 2 Selling Price) 30kg,Variant 2 (MRP),,,,
Thiomax ,Thiamethoxam 25% WG,Thiomax Thiamethoxam 25% WG – Trusted Systemic Insecticide for Sucking Pests,"Thiomax (Thiamethoxam 25% WG) is a modern systemic insecticide designed to protect crops from harmful sucking insects. It gives fast action, long-lasting control, and strong plant protection from the inside. Easy to use and highly effective, Thiomax supports healthier crops and better harvest for farmers.

 Benefits of thiamethoxam 25 % wg 
Quickly controls major sucking pests
Systemic action protects the whole plant
Long-lasting effect with fewer sprays
Improves crop health and yield
Easy to mix and spray
Suitable for multiple crops
How Thiomax Works
Thiomax contains Thiamethoxam 25% WG, which is absorbed by the plant after spraying. The insecticide moves through the plant’s system. When pests feed on the plant sap, it affects their nervous system, stops feeding, and controls them effectively.

This deep, inside-plant action makes thiamethoxam insecticide more reliable than ordinary contact pesticides.

 Features of thiomax 25 
Active Ingredient: Thiamethoxam 25% WG
Formulation: Water dispersible granules
Mode of Action: Systemic
Fast knockdown and residual control
Rainfast after absorption
Trusted Thiomax quality
Dosage & Usage Instructions
Recommended Dosage:

40–80 grams per acre (depending on crop and pest level)

Application Method:

Mix required quantity in clean water
Spray uniformly on crop foliage
Cover both upper and lower leaf surfaces
Use only recommended dose and follow local agricultural advice.

Suitable Crops
Thiomax Thiamethoxam 25% WG is suitable for:

Cotton
Rice
Chilli
Vegetables
Pulses
Sugarcane
Target Pests
Aphids
Whiteflies
Jassids
Thrips
Leafhoppers
This makes it a reliable thiamethoxam pesticide for common pest problems.",https://drive.google.com/file/d/1QD7MiG_2Xlho8tSIWsTWQFQq1OgBx6MN/view?usp=drive_link,Krishikranti Organics,Chemical Insecticide,Chemical,In Stock,4.6,5,100gm,750/kg,3900/kg,700/kg,3900/kg,,,,
,,,,,,,,,,,250gm,690/kg,3800/kg,550/kg,3800/kg,,,,
,,,,,,,,,,,500gm,670/kg,3700/kg,510/kg,3700/kg,,,,
,,,,,,,,,,,1kg,650/kg,3600/kg,490/kg,3600/kg,,,,
Product Brand Name ,Product Technical Name ,,,,,,,,,,Packing Sizes,Variant 1 (Selling Price) 10litre,Variant 1 (MRP),Variant 2 Selling Price) 30litre,Variant 2 (MRP),,,,
German 505,Chlorpyriphos 50 + Cypermethrin 5% EC,Germen 505 – Chlorpyriphos 50% + Cypermethrin 5% EC for Strong Pest Control,"Germen 505 is a highly effective combination insecticide formulated with Chlorpyriphos 50% + Cypermethrin 5% EC. It is designed to give fast knockdown and long-lasting protection against major crop pests.

With its trusted formulation and easy application, Germen 505 insecticide  in helps farmers protect their crops, reduce pest damage, and achieve better yield and quality harvest.

Benefits of chloropyriphos 50+cypermethrin 5% Ec 
Dual-action insecticide for quick and long-term pest control
Controls both sucking and chewing insects
Protects crops from severe pest infestation
Improves plant health and crop growth
Reduces yield loss and increases profitability
Cost-effective and farmer-friendly solution
 How Germen 505 Works
Germen 505 works through contact, stomach, and systemic action:

Chlorpyriphos controls pests by disturbing their nervous system
Cypermethrin provides fast knockdown and strong residual control
This powerful combination ensures immediate pest control and extended crop protection, making it highly reliable for Indian farming conditions.

 Key Features
Powerful combination of Chlorpyriphos 50% + Cypermethrin 5% EC
Broad-spectrum insect control
Fast visible results after spraying
Long-lasting residual effect
Easy to mix and spray
Suitable for multiple crops
 Dosage / Usage of Chlorpyrifos 50+ cypermethrin 5
Recommended Dose:

200–400 ml per acre
Mix with 150–200 liters of water per acre
Method of Application:

Foliar spray using knapsack or power sprayer
Ensure uniform coverage on leaves and stems
For best results, spray at early pest appearance.

Suitable Crops
Germen 505 is suitable for a wide range of crops including:

Cotton
Paddy (Rice)
Sugarcane
Chilli
Brinjal
Okra
Groundnut
Pulses
Vegetable crops",https://drive.google.com/file/d/1NkdHV-4BWtGvoKFnFr6xMYq32OE4TjQc/view?usp=drive_link,Krishikranti Organics,Chemical Insecticide,Chemical,In Stock,4.4,7,100ml,600/lit,1750/lit,560/lit,1750/lit,,,,
,,,,,,,,,,,250ml,550/lit,1700/lit,510/lit,1700/lit,,,,
,,,,,,,,,,,500ml,530/lit,1650/lit,490/lit,1650/lit,,,,
,,,,,,,,,,,1lit,510/lit,1600/lit,470/lit,1600/lit,,,,
Product Brand Name ,Product Technical Name ,,,,,,,,,,Packing Sizes,Variant 1 (Selling Price) 10litre,Variant 1 (MRP),Variant 2 Selling Price) 30litre,Variant 2 (MRP),,,,
Proper 404,Profenophos 40% + Cypermethrin 4% EC,Proper 404 – Profenophos 40% + Cypermethrin 4% EC Insecticide for Strong Pest Control,"Proper 404 is a powerful and trusted combination insecticide containing Profenophos 40% + Cypermethrin 4% EC. It is specially designed to give quick knockdown and long-lasting control of harmful insects in crops.

This product protects crops from heavy pest attacks and helps farmers maintain healthy plants, better growth, and higher yields.

Benefits of Profenophos 40% + Cypermethrin 4% EC
Dual action insecticide for fast and long-term control
Controls sucking and chewing pests
Prevents crop damage and yield loss
Works effectively even in severe infestations
Improves crop quality and market value
Easy to mix and spray
How Proper 404 Works
Proper 404 works with a dual-mode action:

Profenophos controls pests by affecting their nervous system

Cypermethrin gives quick knockdown by contact and stomach action

This combination ensures immediate pest control and extended protection, reducing the chance of pest resistance.

Key Features
Powerful combination of Profenophos 40% + Cypermethrin 4% EC
Broad-spectrum insect control
Quick visible results after spray
Long residual effect on crops
Suitable for multiple crops
Farmer-trusted formulation

Dosage / Usage Instructions
Recommended Dose:

200–400 ml per acre
Mix in 150–200 liters of water per acre
Application Method:

Foliar spray using knapsack or power sprayer
Spray uniformly on crop leaves and stems
Apply at early pest infestation for best results.

 Suitable Crops
Proper 404 is suitable for many crops including:

Cotton
Paddy (Rice)
Chilli
Brinjal
Okra
Groundnut
Pulses
Vegetables",https://drive.google.com/file/d/1dJdNzS5xALYEWjrv7XWc4-tsXS9G2BCp/view?usp=drive_link,Krishikranti Organics,Chemical Insecticide,Chemical,In Stock,3.8,4,100ml,600/lit,1750/lit,560/lit,1750/lit,,,,
,,,,,,,,,,,250ml,550/lit,1700/lit,510/lit,1700/lit,,,,
,,,,,,,,,,,500ml,530/lit,1650/lit,490/lit,1650/lit,,,,
,,,,,,,,,,,1lit,510/lit,1600/lit,470/lit,1600/lit,,,,
Product Brand Name ,Product Technical Name ,,,,,,,,,,Packing Sizes,Variant 1 (Selling Price) 10kg,Variant 1 (MRP),Variant 2 Selling Price) 30kg,Variant 2 (MRP),,,,
Susafe ,Carbendazim 12% + Mancozeb 63% WP,Krishikranti Susafe Carbendazim 12% + Mancozeb 63% WP Fungicide,"Fungal diseases can reduce crop yield and quality if not controlled on time.
SUSAFE Carbendazim 12% + Mancozeb 63% WP is a powerful dual-action fungicide that protects crops from a wide range of fungal diseases.

This combination fungicide works both inside and on the surface of the plant, giving farmers reliable protection and healthier crops across different growing conditions.

Benefits of Carbendazim 12%+ Mancozeb 63% Wp
Controls multiple fungal diseases with one spray
Dual action – systemic + contact protection
Helps maintain healthy leaves, stems, and fruits
Reduces yield loss and improves crop quality
Suitable for preventive and curative use
Easy-to-mix WP formulation

How Susafe Works
Susafe combines two trusted fungicides:

Carbendazim works systemically by entering the plant and stopping fungal growth from inside.
Mancozeb works as a contact fungicide, forming a protective layer on plant surfaces.
This dual action prevents new infections and controls existing diseases, giving long-lasting and balanced protection.

Key Features
Active Ingredients: Carbendazim 12% + Mancozeb 63% WP
Mode of Action: Systemic + Contact
Application Type: Preventive & Curative
Formulation: Wettable Powder (WP)
Broad-spectrum disease control
Dosage & Usage Instructions
 Foliar Application
Dose: Use as recommended for crop and disease
Mix the required quantity in clean water
Spray uniformly on crop foliage
Apply at early disease stage for best results
Do not exceed the recommended dose.
Suitable Crops
Susafe is suitable for a wide range of crops, including:

Paddy (Rice)
Wheat
Vegetables
Fruits
Pulses and Oilseeds
Groundnut
 Major Diseases Controlled
Leaf Spot
Blight
Anthracnose
Powdery Mildew
Downy Mildew
Rust
Damping-off",https://drive.google.com/file/d/1teH5KxJ-mcMH1O2sdsbQiVAjpU-0EHPe/view?usp=drive_link,Krishikranti Organics,Chemical Insecticide,Chemical,In Stock,4.2,5,250gm,590/kg,1900/kg,550/kg,1900/kg,,,,
,,,,,,,,,,,500gm,570/kg,1850/kg,530/kg,1850/kg,,,,
,,,,,,,,,,,1kg,550/kg,1800/kg,500/kg,1800/kg,,,,
Product Brand Name ,Product Technical Name ,,,,,,,,,,Packing Sizes,Variant 1 (Selling Price) 10litre,Variant 1 (MRP),Variant 2 Selling Price) 30litre,Variant 2 (MRP),,,,
Custom,Azoxystrobin 11%+tebuconazole 18.3% Sc,Custom Azoxystrobin 11%+tebuconazole 18.3% Sc fungicide,"Custom Azoxystrobin 11% + Tebuconazole 18.3% SC is a broad-spectrum systemic fungicide used for effective control of major fungal diseases such as powdery mildew, rust, blight, and leaf spot in agricultural crops.
It offers both preventive and curative protection, making it suitable for use in cereals, vegetables, fruits, and horticultural crops.

Benefits
Controls a wide range of fungal diseases
Provides preventive and curative action
Systemic movement ensures long-lasting protection
Improves crop health and yield quality
Suitable for multiple crops and growth stages
How This Fungicide Works 
This fungicide combines two proven active ingredients:

Azoxystrobin
works by stopping fungal spore germination and disease spread at an early stage.

Tebuconazole
penetrates plant tissue and controls existing fungal infections from inside the plant.Together, they deliver strong and long-lasting disease control.

Key Features
Combination fungicide (strobilurin + triazole group)
Broad-spectrum disease control
Systemic and translaminar action
Suitable for foliar spray
Suspension Concentrate (SC) formulation
Recommended Crops
Wheat
Rice
Tomato
Grapes
Cucurbits
Vegetables
Fruits
Ornamental plants
Dosage & Usage Instructions
Dosage Per Liter of Water
0.5 – 1 ml per liter

Dosage Per Acre
200 – 300 ml per acre
(depending on crop and disease severity)

Method of Application
Apply as foliar spray
Ensure uniform coverage on leaves
Spray at early disease stage or preventive stage",https://drive.google.com/file/d/1GLiPlcPKgoajT3mVyqnkFyhXkexcLOso/view?usp=drive_link,Krishikranti Organics,Chemical Fungicide,Chemical,In Stock,4.3,6,100ml,1050/lit,5200/lit,920/lit,5200/lit,,,,
,,,,,,,,,,,250ml,980/lit,4950/lit,880/lit,4950/lit,,,,
,,,,,,,,,,,500ml,940/lit,4850/lit,840/lit,4850/lit,,,,
,,,,,,,,,,,1lit,920/lit,4800/lit,810/lit,4800/lit,,,,
Product Brand Name ,Product Technical Name ,,,,,,,,,,Packing Sizes,Variant 1 (Selling Price) 10litre,Variant 1 (MRP),Variant 2 Selling Price) 30litre,Variant 2 (MRP),,,,
DIZOXY TOP,Azoxystrobin 18.2% + Difenoconazole 11.4% Sc,DIZOXY TOP Azoxystrobin 18.2% + Difenoconazole 11.4% Sc,"Azoxystrobin 18.2% + Difenoconazole 11.4% SC is a broad-spectrum, systemic fungicide designed for preventive, curative, and eradicative control of various fungal diseases in multiple crops. This dual-action formulation combines:

Azoxystrobin (18.2%) – A strobilurin group fungicide that inhibits fungal respiration, preventing spore germination and disease development.

Difenoconazole (11.4%) – A triazole group fungicide that disrupts fungal sterol biosynthesis, stopping fungal growth and spread.

This highly effective combination ensures long-lasting disease control, enhanced plant health, and increased crop productivity.

Mode of Action:
Azoxystrobin 18.2% + Difenoconazole 11.4% SC works through:

1. Systemic Action: Quickly absorbed by leaves and stems, moving within plant tissues for internal protection.
2. Preventive, Curative & Eradicative Effect: Stops spore germination, inhibits fungal growth, and eliminates existing infections.

Dual-Mode Functionality:
Azoxystrobin disrupts mitochondrial respiration, stopping energy production in fungal cells.

Difenoconazole blocks ergosterol biosynthesis, weakening fungal cell membranes and stopping further growth.
Translaminar Activity: Moves across leaf surfaces, ensuring deep penetration and extended protection.
Rainfast & Long-Lasting Effect: Quickly absorbed, reducing wash-off risk and providing 15-20 days of protection.

Target Diseases Controlled:
This fungicide is effective against a wide range of fungal diseases, including:

1.Powdery Mildew (Erysiphe spp., Oidium spp.) – Grapes, Chilli, Cucurbits
2. Early & Late Blight (Alternaria solani, Phytophthora infestans) – Tomato, Potato
3. Sheath Blight (Rhizoctonia solani) – Rice
4. Rusts (Puccinia spp.) – Wheat, Soybean, Pulses
5. Anthracnose (Colletotrichum spp.) – Chilli, Mango
6. Leaf Spots (Cercospora spp., Septoria spp.) – Groundnut, Cotton
7. Downy Mildew (Plasmopara viticola) – Grapes
8. Fruit Rot & Scab (Venturia inaequalis, Colletotrichum spp.) – Apple, Citrus
9. Sigatoka Disease (Mycosphaerella spp.) – Banana

Recommended Crops:
Field Crops – Rice, Wheat, Maize, Soybean, Pulses
Vegetables – Tomato, Potato, Chilli, Cucurbits, Onion
Fruits – Grapes, Mango, Apple, Citrus, Banana
Oilseeds & Plantation Crops – Groundnut, Coffee, Tea
Ornamental & Turf Crops – Roses, Marigold, Lawns

Application and Dosage:
Azoxystrobin 18.2% + Difenoconazole 11.4% SC is applied as a foliar spray for effective disease prevention and control.",https://drive.google.com/file/d/17x1EMYCqTAkYei_0OcgJXhPBmgSKm7mz/view?usp=drive_link,Krishikranti Organics,Chemical Fungicide,,In Stock,3.8,4,100ml,1150/lit,5200/lit,1020/lit,5200/lit,,,,
,,,,,,,,,,,250ml,1080/lit,4950/lit,980/lit,4950/lit,,,,
,,,,,,,,,,,500ml,1040/lit,4850/lit,940/lit,4850/lit,,,,
,,,,,,,,,,,1lit,1020/lit,4800/lit,910/lit,4800/lit,,,,
Product Brand Name ,Product Technical Name ,,,,,,,,,,Packing Sizes,Variant 1 (Selling Price) 10litre,Variant 1 (MRP),Variant 2 Selling Price) 50litre,Variant 2 (MRP),,,,
Fungi-5x,Hexaconazole 5% Sc,Fungi-5x Hexaconazole 5% Sc,"Fungi-5x Hexaconazole 5% SC is a systemic fungicide used to control major fungal diseases like powdery mildew, sheath blight, rust, and leaf spot in crops. It is widely searched and known as Hexaconazole fungicide and is suitable for preventive as well as curative disease control.

The product is quickly absorbed by plant tissues and provides internal, long-lasting protection.

Benefits of Hexaconazole 5% sc 
Systemic fungicide with fast absorption
Effective against major fungal crop diseases
Provides preventive and curative control
Helps protect new plant growth
Suitable for cereals, vegetables & fruits
How Fungi-5x Works
Hexaconazole works by blocking sterol production in fungal cells.
This stops fungal growth and prevents further spread of infection.

Absorbed through leaves and stems
Moves inside the plant systemically
Protects both old and new growth
Key Features
Active Ingredient: Hexaconazole 5% SC
Formulation: Suspension Concentrate (SC)
Mode of Action: Systemic
Chemical Group: Triazole fungicide
Dosage & Usage Instructions
 Per Liter Dosage : 1 ml per liter of water

 Per Acre Dosage : 200–300 ml per acre
(depending on crop and disease pressure)

 Method of Application
Apply as a foliar spray
Spray at early disease stage
Ensure proper coverage on leaves
Repeat after 10–14 days if needed
Follow local agricultural recommendations for best results.

Safety & Correct Usage Tips 
Wear gloves and protective clothing while spraying
Avoid spraying during strong wind or high heat
Do not mix with alkaline chemicals
Store in a cool, dry place away from children
 Suitable Crops
Cereals: Rice, Wheat
Vegetables: Chilli, Tomato, Brinjal
Fruits: Mango, Grapes
Plantations & Others: As recommended",https://drive.google.com/file/d/1LCTVvLyRbsihEe6J0eWn6lQGzOI82djc/view?usp=drive_link,Krishikranti Organics,Chemical Fungicide,Chemical,In Stock,4.3,4,100ml,400/lit,1050/lit,280/lit,1050/lit,,,,
,,,,,,,,,,,250ml,290/lit,760/lit,220/lit,760/lit,,,,
,,,,,,,,,,,500ml,270/lit,740/lit,200/lit,740/lit,,,,
,,,,,,,,,,,1lit,260/lit,720/lit,180/lit,720/lit,,,,
Product Brand Name ,Product Technical Name ,,,,,,,,,,Packing Sizes,Variant 1 (Selling Price) 10litre,Variant 1 (MRP),Variant 2 Selling Price) 50litre,Variant 2 (MRP),,,,
Grow Genius,Gibberellic Acid 0.001% L,Grow Genius Gibberellic Acid 0.001% L Plant Growth Regulator (PGR Spray),"Grow Genius Gibberellic Acid 0.001% L is a plant growth regulator (PGR spray) designed to improve plant growth, flowering, and fruit development.

In many crops, farmers face issues like poor flowering, low fruit setting, and uneven plant growth, which directly reduce yield.

This product helps improve plant growth, flower formation, and crop productivity, making it suitable for farmers looking to enhance crop performance using gibberellic acid.

Nutrient Composition / Technical Details
Product Type: Plant Growth Regulator (PGR)
Active Ingredient: Gibberellic Acid (GA₃)
Concentration: 0.001% L
Formulation: Liquid
Benefits of gibberellic acid 0.001%L
Promotes uniform plant growth and elongation
Improves flowering and fruit setting
Enhances crop quality and yield
Helps in better seed germination
Supports cell division and plant development
Improves fruit size and overall crop appearance
Useful as a plant growth promoter spray

Suitable Crops
Vegetables: tomato, chilli, brinjal, okra, cucumber
Fruits: grapes, banana, mango, citrus, pomegranate
Field crops: wheat, rice, maize, sugarcane
Floriculture crops: marigold, rose, chrysanthemum
Nursery & garden plants",https://drive.google.com/file/d/1X5A1a3BGwhMDXgex7Vx9ms2ATp4_OwDz/view?usp=drive_link,Krishikranti Organics,Plant Growth Regulator,Chemical,In Stock,4,7,100ml,450/lit,1050/lit,330/lit,1050/lit,,,,
,,,,,,,,,,,250ml,390/lit,990/lit,240/lit,990/lit,,,,
,,,,,,,,,,,500ml,360/lit,970/lit,220/lit,970/lit,,,,
,,,,,,,,,,,1lit,340/lit,950/lit,200/lit,950/lit,,,,
Product Brand Name ,Product Technical Name ,,,,,,,,,,Packing Sizes,Variant 1 (Selling Price) 10litre,Variant 1 (MRP),Variant 2 Selling Price) 50litre,Variant 2 (MRP),,,,
